front_left,front_right,back_right,power,efficiency
"(240.89892578125,783.5709228515625,0.0)","(239.89898681640625,783.5806884765625,0.0)","(239.85977172851562,779.5809326171875,0.0)",100000.0,0.95
"(240.85971069335938,779.5711669921875,0.0)","(239.85977172851562,779.5809326171875,0.0)","(239.820556640625,775.5811767578125,0.0)",100000.0,0.95
"(240.82049560546875,775.5714111328125,0.0)","(239.820556640625,775.5811767578125,0.0)","(239.78134155273438,771.5814208984375,0.0)",100000.0,0.95
"(240.78128051757812,771.5716552734375,0.0)","(239.78134155273438,771.5814208984375,0.0)","(239.74212646484375,767.5816650390625,0.0)",100000.0,0.95
"(240.7420654296875,767.5718994140625,0.0)","(239.74212646484375,767.5816650390625,0.0)","(239.70291137695312,763.5819091796875,0.0)",100000.0,0.95
"(240.70285034179688,763.5721435546875,0.0)","(239.70291137695312,763.5819091796875,0.0)","(239.6636962890625,759.5821533203125,0.0)",100000.0,0.95
"(240.66363525390625,759.5723876953125,0.0)","(239.6636962890625,759.5821533203125,0.0)","(239.62448120117188,755.5823974609375,0.0)",100000.0,0.95
"(240.62442016601562,755.5726318359375,0.0)","(239.62448120117188,755.5823974609375,0.0)","(239.58526611328125,751.5826416015625,0.0)",100000.0,0.95
"(240.585205078125,751.5728759765625,0.0)","(239.58526611328125,751.5826416015625,0.0)","(239.54605102539062,747.5828857421875,0.0)",100000.0,0.95
"(240.54598999023438,747.5731201171875,0.0)","(239.54605102539062,747.5828857421875,0.0)","(239.5068359375,743.5831298828125,0.0)",100000.0,0.95
"(240.50677490234375,743.5733642578125,0.0)","(239.5068359375,743.5831298828125,0.0)","(239.46762084960938,739.5833740234375,0.0)",100000.0,0.95
"(240.46755981445312,739.5736083984375,0.0)","(239.46762084960938,739.5833740234375,0.0)","(239.42840576171875,735.5836181640625,0.0)",100000.0,0.95
"(240.4283447265625,735.5738525390625,0.0)","(239.42840576171875,735.5836181640625,0.0)","(239.38919067382812,731.5838623046875,0.0)",100000.0,0.95
"(240.38912963867188,731.5740966796875,0.0)","(239.38919067382812,731.5838623046875,0.0)","(239.3499755859375,727.5841064453125,0.0)",100000.0,0.95
"(240.34991455078125,727.5743408203125,0.0)","(239.3499755859375,727.5841064453125,0.0)","(239.31076049804688,723.5843505859375,0.0)",100000.0,0.95
"(240.31069946289062,723.5745849609375,0.0)","(239.31076049804688,723.5843505859375,0.0)","(239.27154541015625,719.5845947265625,0.0)",100000.0,0.95
"(240.271484375,719.5748291015625,0.0)","(239.27154541015625,719.5845947265625,0.0)","(239.23233032226562,715.5848388671875,0.0)",100000.0,0.95
"(240.23226928710938,715.5750732421875,0.0)","(239.23233032226562,715.5848388671875,0.0)","(239.193115234375,711.5850830078125,0.0)",100000.0,0.95
"(240.19305419921875,711.5753173828125,0.0)","(239.193115234375,711.5850830078125,0.0)","(239.15390014648438,707.5853271484375,0.0)",100000.0,0.95
"(240.15383911132812,707.5755615234375,0.0)","(239.15390014648438,707.5853271484375,0.0)","(239.11468505859375,703.5855712890625,0.0)",100000.0,0.95
"(240.1146240234375,703.5758056640625,0.0)","(239.11468505859375,703.5855712890625,0.0)","(239.07546997070312,699.5858154296875,0.0)",100000.0,0.95
"(240.07540893554688,699.5760498046875,0.0)","(239.07546997070312,699.5858154296875,0.0)","(239.0362548828125,695.5860595703125,0.0)",100000.0,0.95
"(240.03619384765625,695.5762939453125,0.0)","(239.0362548828125,695.5860595703125,0.0)","(238.99703979492188,691.5863037109375,0.0)",100000.0,0.95
"(239.99697875976562,691.5765380859375,0.0)","(238.99703979492188,691.5863037109375,0.0)","(238.95782470703125,687.5865478515625,0.0)",100000.0,0.95
"(239.957763671875,687.5767822265625,0.0)","(238.95782470703125,687.5865478515625,0.0)","(238.91860961914062,683.5867919921875,0.0)",100000.0,0.95
"(239.91854858398438,683.5770263671875,0.0)","(238.91860961914062,683.5867919921875,0.0)","(238.87939453125,679.5870361328125,0.0)",100000.0,0.95
"(239.87933349609375,679.5772705078125,0.0)","(238.87939453125,679.5870361328125,0.0)","(238.84017944335938,675.5872802734375,0.0)",100000.0,0.95
"(239.84011840820312,675.5775146484375,0.0)","(238.84017944335938,675.5872802734375,0.0)","(238.80096435546875,671.5875244140625,0.0)",100000.0,0.95
"(239.8009033203125,671.5777587890625,0.0)","(238.80096435546875,671.5875244140625,0.0)","(238.76174926757812,667.5877685546875,0.0)",100000.0,0.95
"(239.76168823242188,667.5780029296875,0.0)","(238.76174926757812,667.5877685546875,0.0)","(238.7225341796875,663.5880126953125,0.0)",100000.0,0.95
"(239.72247314453125,663.5782470703125,0.0)","(238.7225341796875,663.5880126953125,0.0)","(238.68331909179688,659.5882568359375,0.0)",100000.0,0.95
"(239.68325805664062,659.5784912109375,0.0)","(238.68331909179688,659.5882568359375,0.0)","(238.64410400390625,655.5885009765625,0.0)",100000.0,0.95
"(239.64404296875,655.5787353515625,0.0)","(238.64410400390625,655.5885009765625,0.0)","(238.60488891601562,651.5887451171875,0.0)",100000.0,0.95
"(239.60482788085938,651.5789794921875,0.0)","(238.60488891601562,651.5887451171875,0.0)","(238.565673828125,647.5889892578125,0.0)",100000.0,0.95

