front_left,front_right,back_right,power,efficiency
"(102.99608612060547,54.24879837036133,1.7484555314695172e-07)","(101.9961166381836,54.24197769165039,1.7484555314695172e-07)","(102.00975799560547,52.24202346801758,-1.7484555314695172e-07)",100000.0,0.95
"(99.49617004394531,54.22492980957031,1.7484555314695172e-07)","(98.49620056152344,54.218109130859375,1.7484555314695172e-07)","(98.50984191894531,52.21815490722656,-1.7484555314695172e-07)",100000.0,0.95
"(86.9784164428711,69.35977172851562,1.7484555314695172e-07)","(86.97713470458984,70.35977172851562,1.7484555314695172e-07)","(84.97713470458984,70.35720825195312,-1.7484555314695172e-07)",100000.0,0.95
"(-42.18910598754883,41.70698928833008,0.0)","(-41.18911361694336,41.70417404174805,0.0)","(-41.1834831237793,43.704166412353516,0.0)",100000.0,0.95
"(-45.68909454345703,41.71683883666992,0.0)","(-44.68910217285156,41.71402359008789,0.0)","(-44.6834716796875,43.71401596069336,0.0)",100000.0,0.95
"(-48.30842590332031,-0.685956597328186,1.7484555314695172e-07)","(-49.30841827392578,-0.6831425428390503,1.7484555314695172e-07)","(-49.314048767089844,-2.6831345558166504,-1.7484555314695172e-07)",100000.0,0.95
"(-51.808414459228516,-0.6761072874069214,1.7484555314695172e-07)","(-52.808406829833984,-0.6732932329177856,1.7484555314695172e-07)","(-52.81403732299805,-2.673285484313965,-1.7484555314695172e-07)",100000.0,0.95
"(-66.07450103759766,27.500444412231445,0.0)","(-66.07727813720703,28.50044059753418,0.0)","(-68.07726287841797,28.494882583618164,0.0)",100000.0,0.95
"(-66.06477355957031,24.000457763671875,0.0)","(-66.06755065917969,25.00045394897461,0.0)","(-68.06753540039062,24.994895935058594,0.0)",100000.0,0.95
"(-29.695451736450195,17.101484298706055,1.7484555314695172e-07)","(-29.69267463684082,16.10148811340332,1.7484555314695172e-07)","(-27.69268226623535,16.107046127319336,-1.7484555314695172e-07)",100000.0,0.95
"(-29.685728073120117,13.6014986038208,1.7484555314695172e-07)","(-29.682950973510742,12.601502418518066,1.7484555314695172e-07)","(-27.682958602905273,12.60705852508545,-1.7484555314695172e-07)",100000.0,0.95
"(-27.858299255371094,66.71292877197266,0.0)","(-27.85702133178711,65.71292877197266,0.0)","(-25.85702133178711,65.71549224853516,0.0)",100000.0,0.95
"(-42.075870513916016,81.94683074951172,0.0)","(-41.07587814331055,81.94402313232422,0.0)","(-41.070247650146484,83.94400787353516,0.0)",100000.0,0.95
"(-45.57585906982422,81.95668029785156,0.0)","(-44.57586669921875,81.95387268066406,0.0)","(-44.57023620605469,83.953857421875,0.0)",100000.0,0.95
"(-48.15813064575195,52.72383117675781,1.7484555314695172e-07)","(-49.15812301635742,52.726646423339844,1.7484555314695172e-07)","(-49.163753509521484,50.726654052734375,-1.7484555314695172e-07)",100000.0,0.95
"(-51.658119201660156,52.733680725097656,1.7484555314695172e-07)","(-52.658111572265625,52.73649597167969,1.7484555314695172e-07)","(-52.66374206542969,50.73650360107422,-1.7484555314695172e-07)",100000.0,0.95
