front_left,front_right,back_right,power,efficiency
"(-246.24403381347656,699.8164672851562,3.4969110629390343e-07)","(-245.3629608154297,700.2894897460938,3.4969110629390343e-07)","(-247.2548065185547,703.8137817382812,-3.4969110629390343e-07)",40000.0,0.95
"(-244.330322265625,684.6514892578125,0.0)","(-245.2550048828125,684.270751953125,0.0)","(-243.73202514648438,680.572021484375,0.0)",40000.0,0.95
"(-235.6063995361328,699.0748901367188,3.4969110629390343e-07)","(-234.8490447998047,698.4218139648438,3.4969110629390343e-07)","(-232.2369842529297,701.4512329101562,-3.4969110629390343e-07)",40000.0,0.95
