front_left,front_right,back_right,power,efficiency
"(11.057693481445312,-121.14813995361328,0.0)","(12.055143356323242,-121.07677459716797,0.0)","(11.769685745239258,-117.08696746826172,0.0)",40000.0,0.95
"(7.566617012023926,-121.39791870117188,0.0)","(8.564066886901855,-121.32655334472656,0.0)","(8.278610229492188,-117.33674621582031,0.0)",40000.0,0.95
"(6.982570648193359,-156.9730224609375,3.4969110629390343e-07)","(5.982574462890625,-156.9703369140625,3.4969110629390343e-07)","(5.971776008605957,-160.9703369140625,-3.4969110629390343e-07)",40000.0,0.95
"(3.48258376121521,-156.9635772705078,3.4969110629390343e-07)","(2.4825875759124756,-156.9608917236328,3.4969110629390343e-07)","(2.4717886447906494,-160.9608917236328,-3.4969110629390343e-07)",40000.0,0.95
"(-0.017403870820999146,-156.95413208007812,3.4969110629390343e-07)","(-1.0174002647399902,-156.95144653320312,3.4969110629390343e-07)","(-1.0281989574432373,-160.95144653320312,-3.4969110629390343e-07)",40000.0,0.95
"(-5.732077121734619,-138.90365600585938,3.4969110629390343e-07)","(-5.711741924285889,-137.90386962890625,3.4969110629390343e-07)","(-9.710914611816406,-137.82254028320312,-3.4969110629390343e-07)",40000.0,0.95
"(-5.660904884338379,-135.4043731689453,3.4969110629390343e-07)","(-5.640569686889648,-134.4045867919922,3.4969110629390343e-07)","(-9.639742851257324,-134.32325744628906,-3.4969110629390343e-07)",40000.0,0.95
"(-5.589733123779297,-131.9051055908203,3.4969110629390343e-07)","(-5.569397926330566,-130.9053192138672,3.4969110629390343e-07)","(-9.568571090698242,-130.82398986816406,-3.4969110629390343e-07)",40000.0,0.95
"(17.50556182861328,-136.46730041503906,3.4969110629390343e-07)","(17.532337188720703,-137.46693420410156,3.4969110629390343e-07)","(21.530902862548828,-137.3598175048828,-3.4969110629390343e-07)",40000.0,0.95
"(17.599279403686523,-139.96604919433594,3.4969110629390343e-07)","(17.626054763793945,-140.96568298339844,3.4969110629390343e-07)","(21.62462043762207,-140.8585662841797,-3.4969110629390343e-07)",40000.0,0.95
"(17.692996978759766,-143.46478271484375,3.4969110629390343e-07)","(17.719772338867188,-144.46441650390625,3.4969110629390343e-07)","(21.718338012695312,-144.3572998046875,-3.4969110629390343e-07)",40000.0,0.95
