front_left,front_right,back_right,power,efficiency
"(451.07781982421875,-15.559219360351562,3.4969110629390343e-07)","(451.06719970703125,-16.559162139892578,3.4969110629390343e-07)","(455.06695556640625,-16.60171127319336,-3.4969110629390343e-07)",40000.0,0.95
"(451.04058837890625,-19.05902099609375,3.4969110629390343e-07)","(451.02996826171875,-20.058963775634766,3.4969110629390343e-07)","(455.02972412109375,-20.101512908935547,-3.4969110629390343e-07)",40000.0,0.95
"(446.833251953125,-8.286455154418945,3.4969110629390343e-07)","(447.79803466796875,-8.023338317871094,3.4969110629390343e-07)","(446.74554443359375,-4.164281845092773,-3.4969110629390343e-07)",40000.0,0.95
"(439.70318603515625,-12.56965446472168,0.0)","(439.56414794921875,-11.579366683959961,0.0)","(435.60302734375,-12.135517120361328,0.0)",40000.0,0.95
