front_left,front_right,back_right,power,efficiency
"(-200.2417755126953,-883.3222045898438,3.4969110629390343e-07)","(-200.2643585205078,-882.3224487304688,3.4969110629390343e-07)","(-204.2633514404297,-882.4127807617188,-3.4969110629390343e-07)",40000.0,0.95
"(-189.38900756835938,-885.213623046875,3.4969110629390343e-07)","(-189.38900756835938,-886.213623046875,3.4969110629390343e-07)","(-185.38900756835938,-886.213623046875,-3.4969110629390343e-07)",40000.0,0.95
"(-192.43934631347656,-880.7526245117188,0.0)","(-191.43934631347656,-880.7581176757812,0.0)","(-191.41761779785156,-876.7581176757812,0.0)",40000.0,0.95
