front_left,front_right,back_right,power,efficiency
"(-166.08926391601562,958.4468994140625,3.4969110629390343e-07)","(-165.08926391601562,958.4468994140625,3.4969110629390343e-07)","(-165.08926391601562,962.4468994140625,-3.4969110629390343e-07)",40000.0,0.95
"(-169.0142364501953,948.78173828125,0.0)","(-170.0142364501953,948.778076171875,0.0)","(-169.99964904785156,944.778076171875,0.0)",40000.0,0.95
"(-164.09225463867188,953.947021484375,3.4969110629390343e-07)","(-164.08816528320312,952.947021484375,3.4969110629390343e-07)","(-160.08819580078125,952.96337890625,-3.4969110629390343e-07)",40000.0,0.95
