front_left,front_right,back_right,power,efficiency
"(110.65930938720703,16.10045623779297,3.4969110629390343e-07)","(111.65929412841797,16.094223022460938,3.4969110629390343e-07)","(111.6842269897461,20.094146728515625,-3.4969110629390343e-07)",40000.0,0.95
"(107.7904052734375,7.5509352684021,3.4969110629390343e-07)","(106.79058837890625,7.569799900054932,3.4969110629390343e-07)","(106.71513366699219,3.570512056350708,-3.4969110629390343e-07)",40000.0,0.95
"(104.23877716064453,13.473733901977539,0.0)","(104.2477035522461,14.47369384765625,0.0)","(100.24785614013672,14.509405136108398,0.0)",40000.0,0.95
