front_left,front_right,back_right,power,efficiency
"(-1048.532470703125,-839.5592651367188,0.0)","(-1048.53369140625,-838.5592651367188,0.0)","(-1052.53369140625,-838.5641479492188,0.0)",40000.0,0.95
"(-1038.9061279296875,-841.7803344726562,3.4969110629390343e-07)","(-1038.9205322265625,-842.7802124023438,3.4969110629390343e-07)","(-1034.9210205078125,-842.8381958007812,-3.4969110629390343e-07)",40000.0,0.95
"(-1042.1156005859375,-835.0099487304688,3.4969110629390343e-07)","(-1041.1156005859375,-835.0099487304688,3.4969110629390343e-07)","(-1041.1156005859375,-831.0099487304688,-3.4969110629390343e-07)",40000.0,0.95
