front_left,front_right,back_right,power,efficiency
"(-166.29165649414062,887.791259765625,3.4969110629390343e-07)","(-165.29165649414062,887.794921875,3.4969110629390343e-07)","(-165.30624389648438,891.794921875,-3.4969110629390343e-07)",40000.0,0.95
"(-172.0214385986328,884.5755004882812,3.4969110629390343e-07)","(-172.02745056152344,885.5755004882812,3.4969110629390343e-07)","(-176.0273895263672,885.5514526367188,-3.4969110629390343e-07)",40000.0,0.95
"(-168.3793182373047,878.0452270507812,0.0)","(-169.37928771972656,878.0374145507812,0.0)","(-169.34828186035156,874.0375366210938,0.0)",40000.0,0.95
