front_left,front_right,back_right,power,efficiency
"(-719.6056518554688,-901.4447021484375,0.0)","(-718.6056518554688,-901.447021484375,0.0)","(-718.5962524414062,-897.447021484375,0.0)",40000.0,0.95
"(-726.7735595703125,-906.3427124023438,0.0)","(-726.814208984375,-905.3435668945312,0.0)","(-730.8109130859375,-905.5060424804688,0.0)",40000.0,0.95
"(-721.9041137695312,-910.3118286132812,3.4969110629390343e-07)","(-722.9030151367188,-910.2659301757812,3.4969110629390343e-07)","(-723.0864868164062,-914.2617797851562,-3.4969110629390343e-07)",40000.0,0.95
"(-716.2047729492188,-906.9696044921875,3.4969110629390343e-07)","(-716.1967163085938,-907.9696044921875,3.4969110629390343e-07)","(-712.1968383789062,-907.9373779296875,-3.4969110629390343e-07)",40000.0,0.95
