front_left,front_right,back_right,power,efficiency
"(768.939697265625,-422.50018310546875,0.0)","(768.939697265625,-421.50018310546875,0.0)","(764.939697265625,-421.50018310546875,0.0)",40000.0,0.95
"(772.8427124023438,-429.3447570800781,3.4969110629390343e-07)","(771.8428344726562,-429.3334045410156,3.4969110629390343e-07)","(771.7974243164062,-433.3331604003906,-3.4969110629390343e-07)",40000.0,0.95
"(781.5414428710938,-426.0591125488281,3.4969110629390343e-07)","(781.4631958007812,-427.0560607910156,3.4969110629390343e-07)","(785.4509887695312,-427.3688049316406,-3.4969110629390343e-07)",40000.0,0.95
