front_left,front_right,back_right,power,efficiency
"(-1551.3551025390625,-345.3938293457031,0.0)","(-1551.3641357421875,-346.3937683105469,0.0)","(-1547.3643798828125,-346.4294738769531,0.0)",40000.0,0.95
"(-1561.8985595703125,-342.7669982910156,3.4969110629390343e-07)","(-1561.8985595703125,-341.7669982910156,3.4969110629390343e-07)","(-1565.8985595703125,-341.7669982910156,-3.4969110629390343e-07)",40000.0,0.95
"(-1558.5086669921875,-347.76251220703125,3.4969110629390343e-07)","(-1559.5086669921875,-347.760498046875,3.4969110629390343e-07)","(-1559.5167236328125,-351.760498046875,-3.4969110629390343e-07)",40000.0,0.95
"(-1554.6668701171875,-339.2628173828125,0.0)","(-1553.6668701171875,-339.2578125,0.0)","(-1553.6868896484375,-335.25787353515625,0.0)",40000.0,0.95
