front_left,front_right,back_right,power,efficiency
"(-1417.2545166015625,13.0804443359375,0.0)","(-1418.2545166015625,13.0804443359375,0.0)","(-1418.2545166015625,9.0804443359375,0.0)",40000.0,0.95
"(-1420.271484375,21.079320907592773,3.4969110629390343e-07)","(-1420.2763671875,22.079309463500977,3.4969110629390343e-07)","(-1424.2763671875,22.059701919555664,-3.4969110629390343e-07)",40000.0,0.95
"(-1414.7896728515625,25.623987197875977,3.4969110629390343e-07)","(-1413.7899169921875,25.606447219848633,3.4969110629390343e-07)","(-1413.7198486328125,29.605833053588867,-3.4969110629390343e-07)",40000.0,0.95
