front_left,front_right,back_right,power,efficiency
"(-258.971923828125,-1194.4713134765625,0.0)","(-258.96795654296875,-1193.4713134765625,0.0)","(-262.9678955078125,-1193.4554443359375,0.0)",40000.0,0.95
"(-253.57322692871094,-1191.5557861328125,0.0)","(-252.57322692871094,-1191.5611572265625,0.0)","(-252.55128479003906,-1187.5611572265625,0.0)",40000.0,0.95
"(-247.0580291748047,-1197.4007568359375,0.0)","(-247.0636444091797,-1198.4007568359375,0.0)","(-243.06370544433594,-1198.4232177734375,0.0)",40000.0,0.95
