front_left,front_right,back_right,power,efficiency
"(-162.12286376953125,1259.782470703125,3.4969110629390343e-07)","(-161.1234130859375,1259.74951171875,3.4969110629390343e-07)","(-160.99139404296875,1263.747314453125,-3.4969110629390343e-07)",40000.0,0.95
"(-158.6008758544922,1254.394287109375,3.4969110629390343e-07)","(-158.60426330566406,1253.394287109375,3.4969110629390343e-07)","(-154.6042938232422,1253.380615234375,-3.4969110629390343e-07)",40000.0,0.95
"(-164.79739379882812,1252.001220703125,0.0)","(-165.7972412109375,1251.98388671875,0.0)","(-165.728271484375,1247.984375,0.0)",40000.0,0.95
