front_left,front_right,back_right,power,efficiency
"(-939.5069580078125,-1519.1405029296875,3.4969110629390343e-07)","(-939.5111083984375,-1518.1405029296875,3.4969110629390343e-07)","(-943.5111083984375,-1518.1573486328125,-3.4969110629390343e-07)",40000.0,0.95
"(-933.8037109375,-1516.7965087890625,0.0)","(-932.8038330078125,-1516.8092041015625,0.0)","(-932.7535400390625,-1512.8094482421875,0.0)",40000.0,0.95
"(-933.4317016601562,-1525.459228515625,3.4969110629390343e-07)","(-934.3085327148438,-1525.93994140625,3.4969110629390343e-07)","(-932.3851928710938,-1529.447265625,-3.4969110629390343e-07)",40000.0,0.95
