front_left,front_right,back_right,power,efficiency
"(22.401315689086914,-1045.481689453125,0.0)","(22.409860610961914,-1046.481689453125,0.0)","(26.40971565246582,-1046.447509765625,0.0)",40000.0,0.95
"(0.31165120005607605,-1067.7891845703125,3.4969110629390343e-07)","(-0.6882503032684326,-1067.8033447265625,3.4969110629390343e-07)","(-0.6320977210998535,-1071.8028564453125,-3.4969110629390343e-07)",40000.0,0.95
"(-3.1880037784576416,-1067.83837890625,3.4969110629390343e-07)","(-4.187905311584473,-1067.8525390625,3.4969110629390343e-07)","(-4.131752967834473,-1071.85205078125,-3.4969110629390343e-07)",40000.0,0.95
"(-6.687658786773682,-1067.887451171875,3.4969110629390343e-07)","(-7.687560558319092,-1067.901611328125,3.4969110629390343e-07)","(-7.631408214569092,-1071.901123046875,-3.4969110629390343e-07)",40000.0,0.95
"(7.316973686218262,-1024.259765625,0.0)","(8.316889762878418,-1024.272705078125,0.0)","(8.36868667602539,-1020.2730712890625,0.0)",40000.0,0.95
"(3.8172669410705566,-1024.2144775390625,0.0)","(4.817183017730713,-1024.2274169921875,0.0)","(4.8689799308776855,-1020.2277221679688,0.0)",40000.0,0.95
