front_left,front_right,back_right,power,efficiency
"(110.00698852539062,-7.493557453155518,0.0)","(111.00680541992188,-7.51242208480835,0.0)","(111.08226013183594,-3.513134241104126,0.0)",40000.0,0.95
"(101.26265716552734,-11.033368110656738,0.0)","(101.25212860107422,-10.03342342376709,0.0)","(97.25235748291016,-10.075526237487793,0.0)",40000.0,0.95
"(114.9700927734375,-14.173686981201172,3.4969110629390343e-07)","(114.9700927734375,-15.173686981201172,3.4969110629390343e-07)","(118.9700927734375,-15.173686981201172,-3.4969110629390343e-07)",40000.0,0.95
"(114.9700927734375,-17.673686981201172,3.4969110629390343e-07)","(114.9700927734375,-18.673686981201172,3.4969110629390343e-07)","(118.9700927734375,-18.673686981201172,-3.4969110629390343e-07)",40000.0,0.95
