front_left,front_right,back_right,power,efficiency
"(-1594.723388671875,-1143.4405517578125,0.0)","(-1594.723388671875,-1144.4405517578125,0.0)","(-1590.723388671875,-1144.4405517578125,0.0)",40000.0,0.95
"(-1599.4908447265625,-1139.2113037109375,3.4969110629390343e-07)","(-1598.4908447265625,-1139.2103271484375,3.4969110629390343e-07)","(-1598.4945068359375,-1135.2103271484375,-3.4969110629390343e-07)",40000.0,0.95
"(-1601.36181640625,-1146.9464111328125,0.0)","(-1602.36181640625,-1146.9307861328125,0.0)","(-1602.424072265625,-1150.9302978515625,0.0)",40000.0,0.95
