front_left,front_right,back_right,power,efficiency
"(-1153.419677734375,-1314.3409423828125,0.0)","(-1153.42138671875,-1313.3409423828125,0.0)","(-1157.42138671875,-1313.3480224609375,0.0)",40000.0,0.95
"(-1147.106689453125,-1311.828369140625,3.4969110629390343e-07)","(-1146.106689453125,-1311.828369140625,3.4969110629390343e-07)","(-1146.106689453125,-1307.828369140625,-3.4969110629390343e-07)",40000.0,0.95
"(-1141.7415771484375,-1317.142578125,0.0)","(-1141.7325439453125,-1318.142578125,0.0)","(-1137.7327880859375,-1318.106201171875,0.0)",40000.0,0.95
