front_left,front_right,back_right,power,efficiency
"(1203.7958984375,-1244.192138671875,3.4969110629390343e-07)","(1204.7958984375,-1244.1923828125,3.4969110629390343e-07)","(1204.796875,-1240.1923828125,-3.4969110629390343e-07)",40000.0,0.95
"(1205.1317138671875,-1249.489990234375,3.4969110629390343e-07)","(1205.0147705078125,-1250.483154296875,3.4969110629390343e-07)","(1208.9874267578125,-1250.950439453125,-3.4969110629390343e-07)",40000.0,0.95
"(1198.344482421875,-1246.6229248046875,0.0)","(1198.39697265625,-1245.6243896484375,0.0)","(1194.402587890625,-1245.4141845703125,0.0)",40000.0,0.95
