front_left,front_right,back_right,power,efficiency
"(-1387.05322265625,-808.1485595703125,0.0)","(-1386.053466796875,-808.16845703125,0.0)","(-1385.97412109375,-804.169189453125,0.0)",40000.0,0.95
"(-1390.856689453125,-816.7741088867188,0.0)","(-1391.856689453125,-816.7741088867188,0.0)","(-1391.856689453125,-820.7741088867188,0.0)",40000.0,0.95
"(-1393.434814453125,-810.1710815429688,3.4969110629390343e-07)","(-1393.434326171875,-809.1710815429688,3.4969110629390343e-07)","(-1397.434326171875,-809.1694946289062,-3.4969110629390343e-07)",40000.0,0.95
