front_left,front_right,back_right,power,efficiency
"(-681.1521606445312,-15.265477180480957,3.4969110629390343e-07)","(-680.1522827148438,-15.249604225158691,3.4969110629390343e-07)","(-680.2157592773438,-11.250107765197754,-3.4969110629390343e-07)",40000.0,0.95
"(-687.9114990234375,-18.320255279541016,3.4969110629390343e-07)","(-687.91796875,-17.320274353027344,3.4969110629390343e-07)","(-691.9178466796875,-17.346080780029297,-3.4969110629390343e-07)",40000.0,0.95
"(-676.6708374023438,-20.403186798095703,3.4969110629390343e-07)","(-676.6763305664062,-21.40317153930664,3.4969110629390343e-07)","(-672.6763916015625,-21.425270080566406,-3.4969110629390343e-07)",40000.0,0.95
