front_left,front_right,back_right,power,efficiency
"(-1385.986328125,-652.7598266601562,3.4969110629390343e-07)","(-1386.986083984375,-652.7411499023438,3.4969110629390343e-07)","(-1387.06103515625,-656.7404174804688,-3.4969110629390343e-07)",40000.0,0.95
"(-1388.459716796875,-646.7090454101562,3.4969110629390343e-07)","(-1388.45556640625,-645.7090454101562,3.4969110629390343e-07)","(-1392.45556640625,-645.6923217773438,-3.4969110629390343e-07)",40000.0,0.95
"(-1382.466796875,-643.9240112304688,0.0)","(-1381.46728515625,-643.9534301757812,0.0)","(-1381.349609375,-639.9551391601562,0.0)",40000.0,0.95
