front_left,front_right,back_right,power,efficiency
"(-670.2880249023438,-1449.2154541015625,3.4969110629390343e-07)","(-670.2880249023438,-1448.2154541015625,3.4969110629390343e-07)","(-674.2880249023438,-1448.2154541015625,-3.4969110629390343e-07)",40000.0,0.95
"(-659.4933471679688,-1452.9232177734375,3.4969110629390343e-07)","(-659.4933471679688,-1453.9232177734375,3.4969110629390343e-07)","(-655.4933471679688,-1453.9232177734375,-3.4969110629390343e-07)",40000.0,0.95
"(-666.68212890625,-1456.610107421875,0.0)","(-667.6820068359375,-1456.62158203125,0.0)","(-667.6363525390625,-1460.621337890625,0.0)",40000.0,0.95
