front_left,front_right,back_right,power,efficiency
"(8.553913116455078,-1227.458251953125,0.0)","(9.553813934326172,-1227.444091796875,0.0)","(9.497661590576172,-1223.444580078125,0.0)",40000.0,0.95
"(5.054257869720459,-1227.5074462890625,0.0)","(6.054159641265869,-1227.4932861328125,0.0)","(5.998007297515869,-1223.4937744140625,0.0)",40000.0,0.95
"(2.0648179054260254,-1256.3466796875,3.4969110629390343e-07)","(1.064846396446228,-1256.354248046875,3.4969110629390343e-07)","(1.0949872732162476,-1260.354248046875,-3.4969110629390343e-07)",40000.0,0.95
"(-1.4350827932357788,-1256.373046875,3.4969110629390343e-07)","(-2.435054302215576,-1256.380615234375,3.4969110629390343e-07)","(-2.4049134254455566,-1260.380615234375,-3.4969110629390343e-07)",40000.0,0.95
"(-4.934983730316162,-1256.3994140625,3.4969110629390343e-07)","(-5.93495512008667,-1256.406982421875,3.4969110629390343e-07)","(-5.90481424331665,-1260.406982421875,-3.4969110629390343e-07)",40000.0,0.95
"(22.647960662841797,-1243.1978759765625,0.0)","(22.65188980102539,-1244.1978759765625,0.0)","(26.651859283447266,-1244.1822509765625,0.0)",40000.0,0.95
