front_left,front_right,back_right,power,efficiency
"(227.6284942626953,819.0574340820312,3.4969110629390343e-07)","(227.62745666503906,820.0574340820312,3.4969110629390343e-07)","(223.62745666503906,820.0532836914062,-3.4969110629390343e-07)",40000.0,0.95
"(241.13421630859375,807.5694580078125,0.0)","(240.13427734375,807.5792236328125,0.0)","(240.09506225585938,803.5794677734375,0.0)",40000.0,0.95
"(254.46803283691406,816.5256958007812,0.0)","(254.46775817871094,815.5256958007812,0.0)","(258.4677429199219,815.5245971679688,0.0)",40000.0,0.95
