front_left,front_right,back_right,power,efficiency
"(-153.1157989501953,-1247.718505859375,3.4969110629390343e-07)","(-153.11399841308594,-1248.718505859375,3.4969110629390343e-07)","(-149.11399841308594,-1248.711181640625,-3.4969110629390343e-07)",40000.0,0.95
"(-167.35842895507812,-1245.739013671875,0.0)","(-167.35842895507812,-1244.739013671875,0.0)","(-171.35842895507812,-1244.739013671875,0.0)",40000.0,0.95
"(-158.84457397460938,-1241.5523681640625,3.4969110629390343e-07)","(-157.8446044921875,-1241.5604248046875,3.4969110629390343e-07)","(-157.81234741210938,-1237.5606689453125,-3.4969110629390343e-07)",40000.0,0.95
