front_left,front_right,back_right,power,efficiency
"(-288.08660888671875,-840.0950927734375,0.0)","(-288.08660888671875,-841.0950927734375,0.0)","(-284.08660888671875,-841.0950927734375,0.0)",40000.0,0.95
"(-298.5458068847656,-837.5489501953125,0.0)","(-298.5505065917969,-836.5489501953125,0.0)","(-302.5504455566406,-836.5677490234375,0.0)",40000.0,0.95
"(-295.0508117675781,-844.0299682617188,0.0)","(-296.0508117675781,-844.0270385742188,0.0)","(-296.0624694824219,-848.0270385742188,0.0)",40000.0,0.95
