front_left,front_right,back_right,power,efficiency
"(-971.62353515625,-1304.097900390625,0.0)","(-972.62353515625,-1304.097900390625,0.0)","(-972.62353515625,-1308.097900390625,0.0)",40000.0,0.95
"(-966.2183227539062,-1301.2474365234375,0.0)","(-966.2183227539062,-1302.2474365234375,0.0)","(-962.2183227539062,-1302.2474365234375,0.0)",40000.0,0.95
"(-969.08740234375,-1295.99365234375,3.4969110629390343e-07)","(-968.08740234375,-1295.985595703125,3.4969110629390343e-07)","(-968.119140625,-1291.98583984375,-3.4969110629390343e-07)",40000.0,0.95
