front_left,front_right,back_right,power,efficiency
"(255.9365997314453,-26.713586807250977,0.0)","(254.9833221435547,-27.015684127807617,0.0)","(256.19171142578125,-30.828794479370117,0.0)",40000.0,0.95
"(249.9700927734375,-11.673683166503906,0.0)","(249.9700927734375,-10.673683166503906,0.0)","(245.9700927734375,-10.673683166503906,0.0)",40000.0,0.95
"(260.7186584472656,-7.3315606117248535,3.4969110629390343e-07)","(261.7186584472656,-7.3364033699035645,3.4969110629390343e-07)","(261.7380065917969,-3.3364500999450684,-3.4969110629390343e-07)",40000.0,0.95
