front_left,front_right,back_right,power,efficiency
"(656.411376953125,-154.47210693359375,0.0)","(656.428466796875,-153.47225952148438,0.0)","(652.4290771484375,-153.40414428710938,0.0)",40000.0,0.95
"(660.6100463867188,-161.77664184570312,0.0)","(659.6100463867188,-161.77200317382812,0.0)","(659.5914916992188,-165.77197265625,0.0)",40000.0,0.95
"(662.9049072265625,-151.25205993652344,3.4969110629390343e-07)","(663.90478515625,-151.26429748535156,3.4969110629390343e-07)","(663.9537353515625,-147.2646026611328,-3.4969110629390343e-07)",40000.0,0.95
