front_left,front_right,back_right,power,efficiency
"(-1599.9891357421875,33.98263168334961,3.4969110629390343e-07)","(-1598.9891357421875,33.973934173583984,3.4969110629390343e-07)","(-1598.9544677734375,37.97378158569336,-3.4969110629390343e-07)",40000.0,0.95
"(-1596.0152587890625,24.848020553588867,0.0)","(-1596.0264892578125,23.848085403442383,0.0)","(-1592.0267333984375,23.803144454956055,0.0)",40000.0,0.95
"(-1602.1927490234375,20.925498962402344,0.0)","(-1603.1927490234375,20.925498962402344,0.0)","(-1603.1927490234375,16.925498962402344,0.0)",40000.0,0.95
