front_left,front_right,back_right,power,efficiency
"(-254.42019653320312,-890.1512451171875,3.4969110629390343e-07)","(-255.42019653320312,-890.145751953125,3.4969110629390343e-07)","(-255.442138671875,-894.145751953125,-3.4969110629390343e-07)",40000.0,0.95
"(-256.81378173828125,-884.895263671875,3.4969110629390343e-07)","(-256.80450439453125,-883.895263671875,3.4969110629390343e-07)","(-260.8043212890625,-883.8582763671875,-3.4969110629390343e-07)",40000.0,0.95
"(-248.1730499267578,-886.906005859375,0.0)","(-248.1504669189453,-887.90576171875,0.0)","(-244.15147399902344,-887.8154296875,0.0)",40000.0,0.95
