front_left,front_right,back_right,power,efficiency
"(536.473876953125,-340.080322265625,3.4969110629390343e-07)","(537.305908203125,-339.525634765625,3.4969110629390343e-07)","(535.087158203125,-336.19744873046875,-3.4969110629390343e-07)",40000.0,0.95
"(531.3392944335938,-347.65460205078125,0.0)","(530.5940551757812,-346.98779296875,0.0)","(527.9269409179688,-349.96881103515625,0.0)",40000.0,0.95
"(539.7626953125,-345.83221435546875,3.4969110629390343e-07)","(539.12939453125,-346.60614013671875,3.4969110629390343e-07)","(542.2252197265625,-349.13909912109375,-3.4969110629390343e-07)",40000.0,0.95
