front_left,front_right,back_right,power,efficiency
"(-1414.7545166015625,-11.9195556640625,3.4969110629390343e-07)","(-1413.7545166015625,-11.9195556640625,3.4969110629390343e-07)","(-1413.7545166015625,-7.9195556640625,-3.4969110629390343e-07)",40000.0,0.95
"(-1421.331787109375,-16.44378089904785,3.4969110629390343e-07)","(-1421.32763671875,-15.443788528442383,3.4969110629390343e-07)","(-1425.32763671875,-15.427616119384766,-3.4969110629390343e-07)",40000.0,0.95
"(-1410.8707275390625,-19.87896156311035,0.0)","(-1410.8856201171875,-20.87885093688965,0.0)","(-1406.8861083984375,-20.93843650817871,0.0)",40000.0,0.95
