front_left,front_right,back_right,power,efficiency
"(-387.8882141113281,-1597.4036865234375,3.4969110629390343e-07)","(-387.8806457519531,-1596.4036865234375,3.4969110629390343e-07)","(-391.8805236816406,-1596.3734130859375,-3.4969110629390343e-07)",40000.0,0.95
"(-375.36383056640625,-1598.211669921875,3.4969110629390343e-07)","(-375.0506591796875,-1599.161376953125,3.4969110629390343e-07)","(-371.2518310546875,-1597.90869140625,-3.4969110629390343e-07)",40000.0,0.95
"(-380.13238525390625,-1592.4654541015625,3.4969110629390343e-07)","(-379.13238525390625,-1592.4720458984375,3.4969110629390343e-07)","(-379.10638427734375,-1588.4720458984375,-3.4969110629390343e-07)",40000.0,0.95
