front_left,front_right,back_right,power,efficiency
"(-1256.5291748046875,-842.3151245117188,3.4969110629390343e-07)","(-1256.5279541015625,-843.3151245117188,3.4969110629390343e-07)","(-1252.5279541015625,-843.3102416992188,-3.4969110629390343e-07)",40000.0,0.95
"(-1266.6546630859375,-840.1051635742188,0.0)","(-1266.6531982421875,-839.1051635742188,0.0)","(-1270.6531982421875,-839.0990600585938,0.0)",40000.0,0.95
"(-1264.08154296875,-845.9737548828125,0.0)","(-1265.080810546875,-846.0123291015625,0.0)","(-1264.926513671875,-850.0093994140625,0.0)",40000.0,0.95
"(-1260.960693359375,-835.4889526367188,3.4969110629390343e-07)","(-1259.960693359375,-835.4889526367188,3.4969110629390343e-07)","(-1259.960693359375,-831.4889526367188,-3.4969110629390343e-07)",40000.0,0.95
