front_left,front_right,back_right,power,efficiency
"(598.749267578125,-443.8728942871094,3.4969110629390343e-07)","(599.748779296875,-443.9031677246094,3.4969110629390343e-07)","(599.8699951171875,-439.9049987792969,-3.4969110629390343e-07)",40000.0,0.95
"(595.518798828125,-453.4861755371094,0.0)","(594.518798828125,-453.4833068847656,0.0)","(594.50732421875,-457.4833068847656,0.0)",40000.0,0.95
"(592.1249389648438,-446.6534729003906,0.0)","(592.1388549804688,-445.6535949707031,0.0)","(588.1392211914062,-445.5977478027344,0.0)",40000.0,0.95
