front_left,front_right,back_right,power,efficiency
"(-190.87330627441406,760.9138793945312,3.4969110629390343e-07)","(-190.3902130126953,761.7894897460938,3.4969110629390343e-07)","(-193.8925323486328,763.7218627929688,-3.4969110629390343e-07)",40000.0,0.95
"(-182.6797637939453,761.7811889648438,3.4969110629390343e-07)","(-181.91783142089844,761.1334838867188,3.4969110629390343e-07)","(-179.32725524902344,764.1812133789062,-3.4969110629390343e-07)",40000.0,0.95
"(-192.44163513183594,752.964111328125,0.0)","(-193.19898986816406,753.6171875,0.0)","(-195.81105041503906,750.5877685546875,0.0)",40000.0,0.95
