front_left,front_right,back_right,power,efficiency
"(561.7753295898438,-15.538753509521484,3.4969110629390343e-07)","(561.7815551757812,-16.538734436035156,3.4969110629390343e-07)","(565.7814331054688,-16.513992309570312,-3.4969110629390343e-07)",40000.0,0.95
"(561.7969970703125,-19.038686752319336,3.4969110629390343e-07)","(561.80322265625,-20.038667678833008,3.4969110629390343e-07)","(565.8031005859375,-20.013925552368164,-3.4969110629390343e-07)",40000.0,0.95
"(547.5570678710938,-13.684429168701172,0.0)","(547.5570678710938,-12.684429168701172,0.0)","(543.5570678710938,-12.684429168701172,0.0)",40000.0,0.95
"(555.1661987304688,-9.696354866027832,3.4969110629390343e-07)","(556.1660766601562,-9.7106351852417,3.4969110629390343e-07)","(556.2232055664062,-5.711043357849121,-3.4969110629390343e-07)",40000.0,0.95
