front_left,front_right,back_right,power,efficiency
"(-6.492506504058838,822.0042114257812,0.0)","(-6.449499607086182,823.0032348632812,0.0)","(-10.445798873901367,823.1752319335938,0.0)",40000.0,0.95
"(-6.643973350524902,818.5072631835938,0.0)","(-6.600841522216797,819.5062866210938,0.0)","(-10.597119331359863,819.6787719726562,0.0)",40000.0,0.95
"(24.399658203125,812.8463745117188,0.0)","(24.40069580078125,811.8463745117188,0.0)","(28.400691986083984,811.8505249023438,0.0)",40000.0,0.95
"(24.39602279663086,816.3463745117188,0.0)","(24.39706039428711,815.3463745117188,0.0)","(28.397056579589844,815.3505249023438,0.0)",40000.0,0.95
"(3.4538416862487793,834.1435546875,3.4969110629390343e-07)","(4.452996253967285,834.1024169921875,3.4969110629390343e-07)","(4.6174187660217285,838.0989990234375,-3.4969110629390343e-07)",40000.0,0.95
"(6.950883388519287,833.9996948242188,3.4969110629390343e-07)","(7.950038433074951,833.9585571289062,3.4969110629390343e-07)","(8.114460945129395,837.9551391601562,-3.4969110629390343e-07)",40000.0,0.95
"(10.447924613952637,833.8558349609375,3.4969110629390343e-07)","(11.4470796585083,833.814697265625,3.4969110629390343e-07)","(11.611502647399902,837.811279296875,-3.4969110629390343e-07)",40000.0,0.95
"(13.944966316223145,833.7119750976562,3.4969110629390343e-07)","(14.944121360778809,833.6708374023438,3.4969110629390343e-07)","(15.10854434967041,837.6674194335938,-3.4969110629390343e-07)",40000.0,0.95
"(-3.701422929763794,800.8260498046875,0.0)","(-4.694482803344727,800.943603515625,0.0)","(-5.164930820465088,796.9713134765625,0.0)",40000.0,0.95
"(-0.22571402788162231,800.4144287109375,0.0)","(-1.218773603439331,800.531982421875,0.0)","(-1.6892220973968506,796.5596923828125,0.0)",40000.0,0.95
"(3.249994993209839,800.0028076171875,0.0)","(2.2569353580474854,800.120361328125,0.0)","(1.7864868640899658,796.1480712890625,0.0)",40000.0,0.95
"(6.725703239440918,799.5911254882812,0.0)","(5.732644081115723,799.7086791992188,0.0)","(5.262195110321045,795.7363891601562,0.0)",40000.0,0.95
