front_left,front_right,back_right,power,efficiency
"(851.3685913085938,-17.974950790405273,3.4969110629390343e-07)","(851.3485717773438,-18.97475242614746,3.4969110629390343e-07)","(855.3477172851562,-19.054738998413086,-3.4969110629390343e-07)",40000.0,0.95
"(840.9314575195312,-12.854591369628906,0.0)","(840.9314575195312,-11.854591369628906,0.0)","(836.9314575195312,-11.854591369628906,0.0)",40000.0,0.95
"(845.265625,-21.070039749145508,0.0)","(844.265625,-21.076841354370117,0.0)","(844.2928466796875,-25.076749801635742,0.0)",40000.0,0.95
