front_left,front_right,back_right,power,efficiency
"(-972.846435546875,-1319.8243408203125,0.0)","(-973.846435546875,-1319.8289794921875,0.0)","(-973.8282470703125,-1323.8289794921875,0.0)",40000.0,0.95
"(-969.12353515625,-1311.097900390625,3.4969110629390343e-07)","(-968.12353515625,-1311.097900390625,3.4969110629390343e-07)","(-968.12353515625,-1307.097900390625,-3.4969110629390343e-07)",40000.0,0.95
"(-974.7713623046875,-1313.12060546875,3.4969110629390343e-07)","(-974.780517578125,-1312.12060546875,3.4969110629390343e-07)","(-978.7803955078125,-1312.156982421875,-3.4969110629390343e-07)",40000.0,0.95
