front_left,front_right,back_right,power,efficiency
"(531.6671142578125,-168.73605346679688,0.0)","(530.667236328125,-168.74740600585938,0.0)","(530.712646484375,-172.74716186523438,0.0)",40000.0,0.95
"(524.8152465820312,-161.17518615722656,0.0)","(524.8333129882812,-160.1753387451172,0.0)","(520.8339233398438,-160.1028594970703,0.0)",40000.0,0.95
"(533.4996337890625,-158.33309936523438,3.4969110629390343e-07)","(534.49951171875,-158.34530639648438,3.4969110629390343e-07)","(534.54833984375,-154.34561157226562,-3.4969110629390343e-07)",40000.0,0.95
