front_left,front_right,back_right,power,efficiency
"(175.30828857421875,157.0633087158203,3.4969110629390343e-07)","(175.27972412109375,156.06370544433594,3.4969110629390343e-07)","(179.27810668945312,155.94947814941406,-3.4969110629390343e-07)",40000.0,0.95
"(165.27745056152344,152.08595275878906,0.0)","(164.28733825683594,152.22621154785156,0.0)","(163.7262725830078,148.26576232910156,0.0)",40000.0,0.95
"(166.042724609375,162.34632873535156,3.4969110629390343e-07)","(166.83065795898438,162.9620819091797,3.4969110629390343e-07)","(164.36767578125,166.11387634277344,-3.4969110629390343e-07)",40000.0,0.95
