front_left,front_right,back_right,power,efficiency
"(-1341.34130859375,-344.769287109375,3.4969110629390343e-07)","(-1341.332275390625,-343.76934814453125,3.4969110629390343e-07)","(-1345.33203125,-343.733642578125,-3.4969110629390343e-07)",40000.0,0.95
"(-1333.7359619140625,-340.1636657714844,3.4969110629390343e-07)","(-1332.7359619140625,-340.1543884277344,3.4969110629390343e-07)","(-1332.7730712890625,-336.1545715332031,-3.4969110629390343e-07)",40000.0,0.95
"(-1336.4996337890625,-351.0591735839844,3.4969110629390343e-07)","(-1337.4989013671875,-351.0234680175781,3.4969110629390343e-07)","(-1337.6417236328125,-355.0209045410156,-3.4969110629390343e-07)",40000.0,0.95
