front_left,front_right,back_right,power,efficiency
"(-780.260009765625,-1250.6168212890625,3.4969110629390343e-07)","(-780.15380859375,-1251.6112060546875,3.4969110629390343e-07)","(-776.1763916015625,-1251.1864013671875,-3.4969110629390343e-07)",40000.0,0.95
"(-790.38720703125,-1248.9058837890625,3.4969110629390343e-07)","(-790.389892578125,-1247.9058837890625,3.4969110629390343e-07)","(-794.389892578125,-1247.9163818359375,-3.4969110629390343e-07)",40000.0,0.95
"(-786.2667236328125,-1256.780029296875,3.4969110629390343e-07)","(-787.2122802734375,-1257.10546875,3.4969110629390343e-07)","(-785.9102783203125,-1260.8876953125,-3.4969110629390343e-07)",40000.0,0.95
