front_left,front_right,back_right,power,efficiency
"(-976.89111328125,-1518.91845703125,3.4969110629390343e-07)","(-976.8890380859375,-1517.91845703125,3.4969110629390343e-07)","(-980.8890380859375,-1517.910400390625,-3.4969110629390343e-07)",40000.0,0.95
"(-969.460693359375,-1514.8111572265625,3.4969110629390343e-07)","(-968.460693359375,-1514.8065185546875,3.4969110629390343e-07)","(-968.4788818359375,-1510.8065185546875,-3.4969110629390343e-07)",40000.0,0.95
"(-967.4962768554688,-1521.7581787109375,0.0)","(-967.4921264648438,-1522.7581787109375,0.0)","(-963.4921264648438,-1522.7413330078125,0.0)",40000.0,0.95
