front_left,front_right,back_right,power,efficiency
"(-1602.4091796875,-84.12033081054688,3.4969110629390343e-07)","(-1603.4091796875,-84.11726379394531,3.4969110629390343e-07)","(-1603.42138671875,-88.11724853515625,-3.4969110629390343e-07)",40000.0,0.95
"(-1600.061767578125,-76.63032531738281,3.4969110629390343e-07)","(-1599.061767578125,-76.63284301757812,3.4969110629390343e-07)","(-1599.0517578125,-72.63285827636719,-3.4969110629390343e-07)",40000.0,0.95
"(-1594.6546630859375,-81.70784759521484,3.4969110629390343e-07)","(-1594.6546630859375,-82.70784759521484,3.4969110629390343e-07)","(-1590.6546630859375,-82.70784759521484,-3.4969110629390343e-07)",40000.0,0.95
