front_left,front_right,back_right,power,efficiency
"(496.39495849609375,-15.60295581817627,3.4969110629390343e-07)","(496.40618896484375,-16.60289192199707,3.4969110629390343e-07)","(500.40594482421875,-16.557950973510742,-3.4969110629390343e-07)",40000.0,0.95
"(496.4342956542969,-19.10273551940918,3.4969110629390343e-07)","(496.4455261230469,-20.102670669555664,3.4969110629390343e-07)","(500.4452819824219,-20.057729721069336,-3.4969110629390343e-07)",40000.0,0.95
"(483.10260009765625,-13.399765968322754,0.0)","(483.11322021484375,-12.399823188781738,0.0)","(479.11346435546875,-12.357272148132324,0.0)",40000.0,0.95
"(491.04278564453125,-10.191869735717773,3.4969110629390343e-07)","(492.04278564453125,-10.188987731933594,3.4969110629390343e-07)","(492.03125,-6.189004898071289,-3.4969110629390343e-07)",40000.0,0.95
